Week,Opponent,Result,Total_Plays,Sacks,Turnovers,Penalties,Est_Drops,Total_Critical_Errors,12_Percent_Score,Win_Loss_Bool
1,DAL,L,70,6,2,11,2.88,21.88,31.26,0
2,JAX,W,65,2,0,13,2.88,17.88,27.51,1
3,NYG,L,63,8,2,5,2.88,17.88,28.38,0
4,LVR,L,57,3,1,5,2.88,11.88,20.84,0
5,WAS,L,59,7,1,9,2.88,19.88,33.69,0
6,PHI,L,53,5,0,7,2.88,14.88,28.08,0
7,CIN,L,77,4,2,10,2.88,18.88,24.52,0
8,BAL,W,66,2,1,7,2.88,12.88,19.52,1
9,LAC,L,76,6,3,4,2.88,15.88,20.89,0
11,NOR,L,70,3,0,3,2.88,8.88,12.69,0
12,PIT,W,55,1,3,8,2.88,14.88,27.05,1
13,DEN,L,84,3,3,5,2.88,13.88,16.52,0
14,PIT,L,69,3,3,9,2.88,17.88,25.91,0
15,KAN,L,60,5,6,6,2.88,19.88,33.13,0
16,CIN,L,63,5,3,5,2.88,15.88,25.21,0
17,MIA,L,76,1,2,9,2.88,14.88,19.58,0
18,BAL,L,55,2,2,3,2.88,9.88,17.96,0
